Data,Seguidores
2020-11-10,68503
2020-11-11,68510
2020-11-12,68518
2020-11-13,68524
2020-11-14,68526
2020-11-15,68509
2020-11-16,68506
2020-11-17,68486
2020-11-18,68511
2020-11-19,68483
2020-11-20,68468
2020-11-21,68473
2020-11-22,68459
2020-11-23,68436
2020-11-24,68451
2020-11-25,68435
2020-11-26,68445
2020-11-27,68445
2020-11-28,68436
2020-11-29,68404
2020-11-30,68394
2020-12-01,68378
2020-12-02,68364
2020-12-03,68378
2020-12-04,68367
2020-12-05,68370
2020-12-06,68360
2020-12-07,68319
2020-12-08,68318
2020-12-09,68311
2020-12-10,68310
2020-12-11,68305
2020-12-12,68310
2020-12-13,68276
2020-12-14,68248
2020-12-15,68224
2020-12-16,68182
2020-12-18,68153
2020-12-19,68146
2020-12-20,68130
2020-12-21,68110
2020-12-22,68065
2020-12-23,68049
2020-12-25,68036
2020-12-26,68023
2020-12-27,67963
2020-12-28,67939
2020-12-29,67914
2020-12-30,67895
2020-12-31,67870
2021-01-02,67784
2021-01-03,67822
2021-01-04,67825
2021-01-05,67785
2021-01-06,67777
2021-01-07,67743
2021-01-25,67220
2021-01-26,67185
2021-01-27,67155
2021-01-28,67124
2021-01-29,67126
2021-01-31,67107
2021-02-01,67088
2021-02-02,67072
2021-02-03,67044
2021-02-04,67033
2021-02-05,67042
2021-02-06,67078
2021-02-07,67133
2021-02-08,67163
2021-02-09,67210
2021-02-10,67231
2021-02-11,67255
2021-02-12,67313
2021-02-13,67372
2021-02-14,67405
2021-02-15,67449
2021-02-16,67481
2021-02-17,67438
2021-02-18,67399
2021-02-19,67395
2021-02-20,67375
2021-02-21,67364
2021-02-22,67379
2021-02-23,67366
2021-02-24,67346
2021-02-25,67344
2021-02-26,67325
2021-02-27,67296
2021-02-28,67247
2021-03-01,67232
2021-03-02,67213
2021-03-03,67209
2021-03-04,67193
2021-03-05,67154
2021-03-06,67132
2021-03-07,67193
2021-03-08,67198
2021-03-09,67172
2021-03-10,67161
2021-03-11,67147
2021-03-13,67131
2021-03-14,67100
2021-03-15,67092
2021-03-16,67081
2021-03-17,67069
2021-03-18,67049
2021-03-19,67131
2021-03-20,67117
2021-03-21,67092
2021-03-22,67081
2021-03-23,67078
2021-03-24,67067
2021-03-25,67060
2021-03-26,67035
2021-03-27,67037
2021-03-28,67042
2021-03-29,67037
2021-03-30,67012
2021-03-31,66999
2021-04-01,67061
2021-04-02,67222
2021-04-03,67488
2021-04-04,67608
2021-04-05,67744
2021-04-06,67922
2021-04-07,68098
2021-04-08,68200
2021-04-09,68373
2021-04-10,68585
2021-04-11,68806
2021-04-12,68975
2021-04-13,69166
2021-04-14,69469
2021-04-15,69739
2021-04-16,69857
2021-04-17,69999
2021-04-18,70028
2021-04-19,70077
2021-04-20,70154
2021-04-21,70204
2021-04-22,70244
2021-04-23,70297
2021-04-24,70397
2021-04-25,70469
2021-04-26,70590
2021-04-27,70704
2021-04-28,70801
2021-04-29,70893
2021-04-30,70992
2021-05-01,71090
2021-05-02,71216
2021-05-03,71215
2021-05-04,71234
2021-05-05,71255
2021-05-06,71251
2021-05-07,71293
2021-05-08,71340
2021-05-09,71492
2021-05-10,71603
2021-05-11,71641
2021-05-12,71681
2021-05-13,71677
2021-05-14,71679
2021-05-15,71687
2021-05-16,71727
2021-05-17,71791
2021-05-18,71828
2021-05-19,71889
2021-05-20,71948
2021-05-21,71991
2021-05-22,72034
2021-05-23,72070
2021-05-24,72122
2021-05-29,72176
2021-05-30,72140
2021-05-31,72135
2021-06-01,72087
2021-06-02,72092
2021-06-03,72147
2021-06-04,72206
2021-06-05,72299
2021-06-06,72365
2021-06-07,72401
2021-06-08,72455
2021-06-09,72499
2021-06-10,72520
2021-06-11,72578
2021-06-12,72609
2021-06-13,72578
2021-06-14,72609
2021-06-15,72634
2021-06-16,72660
2021-06-17,72653
2021-06-18,72653
2021-06-19,72634
2021-06-20,72632
2021-06-21,72609
2021-06-22,72624
2021-06-23,72662
2021-06-24,72707
2021-06-25,72760
2021-06-26,72736
2021-06-27,72695
2021-06-28,72689
2021-06-29,72712
2021-06-30,72719
2021-07-01,72715
2021-07-02,72722
2021-07-03,72722
2021-07-04,72697
2021-07-05,72638
2021-07-06,72618
2021-07-07,72600
2021-07-08,72619
2021-07-09,72638
2021-07-10,72664
2021-07-11,72692
2021-07-12,72711
2021-07-13,72724
2021-07-14,72750
2021-07-15,72776
2021-07-16,72778
2021-07-17,72842
2021-07-18,72816
2021-07-19,72796
2021-07-20,72785
2021-07-21,72735
2021-07-22,72730
2021-07-23,72727
2021-07-24,72745
2021-07-25,72740
2021-07-26,72764
2021-07-27,72755
2021-07-28,72715
2021-07-29,72695
2021-07-30,72692
2021-07-31,72634
2021-08-01,72620
2021-08-02,72600
2021-08-03,72537
2021-08-04,72507
2021-08-05,72458
2021-08-06,72414
2021-08-07,72388
2021-08-08,72304
2021-08-09,72255
2021-08-10,72225
2021-08-11,72179
2021-08-13,72101
2021-08-14,72058
2021-08-15,72022
2021-08-16,71980
2021-08-17,71950
2021-08-18,71909
2021-08-19,71898
2021-08-20,71889
2021-08-21,71861
2021-08-22,71847
2021-08-23,71830
2021-08-24,71772
2021-08-25,71745
2021-08-26,71720
2021-08-27,71707
2021-08-28,71678
2021-08-29,71652
2021-08-30,71617
2021-08-31,71607
2021-09-01,71586
2021-09-02,71561
2021-09-03,71546
2021-09-04,71526
2021-09-05,71496
2021-09-06,71441
2021-09-07,71416
2021-09-08,71396
2021-09-09,71376
2021-09-10,71368
2021-09-11,71409
2021-09-12,71428
2021-09-13,71430
2021-09-14,71422
2021-09-15,71421
2021-09-17,71410
2021-09-18,71427
2021-09-19,71406
2021-09-20,71377
2021-09-21,71364
2021-09-23,71364
2021-09-24,71392
2021-09-25,71391
2021-09-26,71381
2021-09-27,71357
2021-09-28,71326
2021-09-29,71309
2021-09-30,71277
2021-10-01,71254
2021-10-02,71261
2021-10-03,71221
2021-10-04,71231
2021-10-05,71252
2021-10-06,71240
2021-10-07,71250
2021-10-08,71241
2021-10-09,71228
2021-10-10,71228
2021-10-11,71231
2021-10-12,71226
2021-10-13,71205
2021-10-14,71206
2021-10-15,71215
2021-10-16,71208
2021-10-17,71209
2021-10-18,71237
02,71261
2021-10-03,71221
2021-10-04,71231
2021-10-05,71252
2021-10-06,71240
2021-10-07,71250
2021-10-08,71241
2021-10-09,71228
2021-10-10,71228
2021-10-11,71231
2021-10-12,71226
2021-10-13,71205
2021-10-14,71206
2021-10-15,71215
2021-10-16,71208
2021-10-17,71209
2021-10-18,71237
