Data,Alcance
2020-10-11,10027
2020-10-12,6614
2020-10-13,2792
2020-10-14,1245
2020-10-15,9905
2020-10-16,6764
2020-10-17,15523
2020-10-18,11735
2020-10-19,4645
2020-10-20,2011
2020-10-21,1242
2020-10-22,6060
2020-10-23,4203
2020-10-24,2246
2020-10-25,2491
2020-10-26,971
2020-10-27,1171
2020-10-28,6097
2020-10-29,4505
2020-10-30,14413
2020-10-31,18371
2020-11-01,10470
2020-11-02,8098
2020-11-03,3370
2020-11-04,1402
2020-11-05,1902
2020-11-06,16221
2020-11-07,9622
2020-11-08,14770
2020-11-09,20194
2020-11-10,18291
2020-11-11,10921
2020-11-12,10003
2020-11-14,21230
2020-11-15,28381
2020-11-16,12551
2020-11-17,9936
2020-11-18,8987
2020-11-19,6816
2020-11-20,11626
2020-11-21,9361
2020-11-22,14947
2020-11-23,8249
2020-11-24,6451
2020-11-25,16683
2020-11-26,12906
2020-11-27,17204
2020-11-28,12104
2020-11-29,12234
2020-11-30,10987
2020-12-01,6705
2020-12-02,14451
2020-12-03,11658
2020-12-04,15765
2020-12-05,15200
2020-12-06,11966
2020-12-07,15697
2020-12-08,14395
2020-12-09,12859
2020-12-12,6259
2020-12-13,14806
2020-12-14,6212
2020-12-15,7988
2020-12-16,8429
2021-01-24,12273
2021-01-25,10808
2021-01-26,10481
2021-01-27,9432
2021-01-31,12593
2021-02-01,7384
2021-02-03,11211
2021-02-05,15854
2021-02-06,24307
2021-02-07,33456
2021-02-08,27279
2021-02-09,28152
2021-02-10,15751
2021-02-11,9642
2021-02-12,17237
2021-02-13,14957
2021-02-14,21467
2021-02-15,17960
2021-02-16,16813
2021-02-17,24805
2021-02-18,13614
2021-02-19,10315
2021-02-20,29481
2021-02-21,19525
2021-02-22,14740
2021-02-23,7910
2021-02-24,12053
2021-02-25,20305
2021-02-26,12611
2021-02-27,13082
2021-02-28,18025
2021-03-01,8761
2021-03-02,6688
2021-03-03,7606
2021-03-04,6364
2021-03-05,10387
2021-03-07,12367
2021-03-08,6386
2021-03-09,4039
2021-03-10,9336
2021-03-11,9030
2021-03-12,9904
2021-03-13,8177
2021-03-14,17407
2021-03-15,14844
2021-03-16,8776
2021-03-17,6322
2021-03-18,7963
2021-03-19,10953
2021-03-20,13800
2021-03-21,22113
2021-03-22,14944
2021-03-23,12493
2021-03-24,6750
2021-03-25,19543
2021-03-26,13103
2021-03-27,18221
2021-03-28,21023
2021-03-29,12671
2021-03-30,13389
2021-03-31,10968
2021-04-01,21254
2021-04-02,27636
2021-04-03,25152
2021-04-04,23703
2021-04-05,23004
2021-04-06,23976
2021-04-07,24371
2021-04-08,25703
2021-04-09,26543
2021-04-10,30183
2021-04-11,34787
2021-04-12,26347
2021-04-13,23834
2021-04-14,34994
2021-04-15,35674
2021-04-16,26758
2021-04-17,29402
2021-04-18,17486
2021-04-19,21140
2021-04-20,20143
2021-04-21,21844
2021-04-22,22143
2021-04-23,17166
2021-04-24,18916
2021-04-25,20679
2021-04-26,22790
2021-04-27,29500
2021-04-28,23057
2021-04-29,21117
2021-04-30,20774
2021-05-01,25645
2021-05-02,32358
2021-05-03,13429
2021-05-04,13542
2021-05-05,14245
